number,incident_state,active,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,reassignment_required
INC0017387,New,True,0,0,True,Caller 4379,Opened by  501,11/4/2016 08:36,?,?,Updated by 908,11/4/2016 08:36,Phone,Location 204,Category 20,Subcategory 125,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 212,11/4/2016 09:13,16/4/2016 10:07,0
INC0017388,New,True,0,0,True,Caller 2542,Opened by  40,11/4/2016 08:39,Created by 20,11/4/2016 08:47,Updated by 88,11/4/2016 08:47,Phone,Location 38,Category 44,Subcategory 60,Symptom 259,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 136,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 122,28/4/2016 14:21,3/5/2016 15:07,1
INC0017389,Active,True,0,0,True,Caller 3352,Opened by  24,11/4/2016 08:39,Created by 13,11/4/2016 08:40,Updated by 60,11/4/2016 08:40,Phone,Location 69,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 08:41,16/4/2016 09:07,0
INC0017390,New,True,0,0,True,Caller 3160,Opened by  17,11/4/2016 08:39,?,?,Updated by 908,11/4/2016 08:39,Phone,Location 204,Category 32,Subcategory 9,Symptom 105,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 11,11/4/2016 08:43,16/4/2016 09:07,0
INC0017391,New,True,0,0,True,Caller 1240,Opened by  24,11/4/2016 08:42,?,?,Updated by 908,11/4/2016 08:42,Phone,Location 108,Category 20,Subcategory 103,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,11/4/2016 09:11,16/4/2016 10:07,0
INC0017392,Active,True,0,0,True,Caller 4893,Opened by  24,11/4/2016 08:43,Created by 13,11/4/2016 08:47,Updated by 60,11/4/2016 08:47,Phone,Location 204,Category 43,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 08:48,16/4/2016 09:07,0
INC0017393,New,True,0,0,True,Caller 2390,Opened by  17,11/4/2016 08:43,Created by 10,11/4/2016 08:49,Updated by 44,11/4/2016 08:49,Phone,Location 114,Category 40,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,13/4/2016 09:18,18/4/2016 10:07,0
INC0017394,New,True,0,0,True,Caller 2350,Opened by  40,11/4/2016 08:44,Created by 20,11/4/2016 08:53,Updated by 88,11/4/2016 08:53,Phone,Location 204,Category 40,Subcategory 215,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,18/4/2016 11:15,23/4/2016 12:07,1
INC0017395,New,True,0,0,True,Caller 501,Opened by  17,11/4/2016 08:44,?,?,Updated by 908,11/4/2016 08:44,Phone,Location 47,Category 26,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,20/4/2016 14:35,25/4/2016 15:07,1
INC0017396,New,True,0,0,True,Caller 3405,Opened by  17,11/4/2016 08:46,Created by 10,11/4/2016 08:49,Updated by 44,11/4/2016 08:49,Phone,Location 161,Category 34,Subcategory 154,Symptom 102,?,2 - Medium,2 - Medium,3 - Moderate,Group 9,Resolver 24,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 22,27/6/2016 15:17,2/7/2016 16:00,1
INC0017397,New,True,0,0,True,Caller 3431,?,11/4/2016 08:47,?,?,Updated by 908,11/4/2016 08:47,Phone,Location 204,Category 26,Subcategory 175,Symptom 116,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 169,11/4/2016 14:48,16/4/2016 15:07,0
INC0017398,New,True,0,0,True,Caller 1569,Opened by  17,11/4/2016 08:49,Created by 10,11/4/2016 08:56,Updated by 44,11/4/2016 08:56,Phone,Location 161,Category 37,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 253,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 231,11/4/2016 10:52,16/4/2016 11:07,1
INC0017399,Active,True,0,0,True,Caller 762,Opened by  17,11/4/2016 08:49,?,?,Updated by 908,11/4/2016 08:49,Phone,Location 161,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 11,11/4/2016 09:01,16/4/2016 09:07,0
INC0017403,New,True,0,0,True,Caller 551,Opened by  24,11/4/2016 08:52,Created by 13,11/4/2016 08:58,Updated by 60,11/4/2016 08:58,Phone,Location 161,Category 46,Subcategory 242,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 155,False,False,Do Not Notify,?,?,?,?,code 8,Resolved by 139,13/4/2016 16:32,18/4/2016 16:13,0
INC0017404,Resolved,True,0,0,True,Caller 548,?,11/4/2016 08:53,?,?,Updated by 908,11/4/2016 08:53,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,?,?,16/4/2016 09:07,0
INC0017406,New,True,0,0,True,Caller 4188,Opened by  40,11/4/2016 08:56,Created by 20,11/4/2016 09:07,Updated by 88,11/4/2016 09:07,Phone,Location 93,Category 13,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 215,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 196,12/4/2016 11:29,17/4/2016 12:07,1
INC0017407,New,True,0,0,True,Caller 2410,Opened by  17,11/4/2016 08:57,Created by 10,11/4/2016 09:00,Updated by 44,11/4/2016 09:00,Phone,Location 204,Category 24,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 206,14/4/2016 10:39,19/4/2016 11:07,0
INC0017409,New,True,0,0,True,Caller 4003,Opened by  40,11/4/2016 08:58,Created by 20,11/4/2016 09:00,Updated by 88,11/4/2016 09:00,Phone,Location 161,Category 26,Subcategory 175,Symptom 116,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,14/4/2016 13:14,19/4/2016 14:07,1
INC0017410,New,True,0,0,True,Caller 3542,Opened by  301,11/4/2016 08:59,Created by 129,11/4/2016 09:04,Updated by 573,11/4/2016 09:04,Phone,Location 93,Category 61,Subcategory 16,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 29,Resolver 201,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,11/4/2016 10:36,16/4/2016 11:07,1
INC0017411,New,True,0,0,True,Caller 369,Opened by  17,11/4/2016 09:00,Created by 10,11/4/2016 09:13,Updated by 44,11/4/2016 09:13,Phone,Location 143,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 71,11/4/2016 10:25,16/4/2016 11:07,0
INC0017412,New,True,0,0,True,Caller 3072,Opened by  17,11/4/2016 09:00,?,?,Updated by 908,11/4/2016 09:00,Phone,Location 33,Category 61,Subcategory 16,Symptom 491,?,2 - Medium,1 - High,2 - High,Group 73,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 151,12/4/2016 16:23,17/4/2016 17:07,0
INC0017413,New,True,0,0,True,Caller 3081,Opened by  17,11/4/2016 09:01,Created by 10,11/4/2016 09:03,Updated by 44,11/4/2016 09:03,Phone,Location 161,Category 26,Subcategory 275,Symptom 115,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,14/4/2016 10:17,19/4/2016 11:07,1
INC0017415,Active,True,0,0,True,Caller 1428,Opened by  24,11/4/2016 09:05,Created by 13,11/4/2016 09:06,Updated by 60,11/4/2016 09:06,Phone,Location 135,Category 37,Subcategory 135,Symptom 127,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 09:07,16/4/2016 09:10,1
INC0017416,New,True,0,0,True,Caller 2206,Opened by  17,11/4/2016 09:05,?,?,Updated by 908,11/4/2016 09:05,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 11,11/4/2016 09:15,16/4/2016 10:07,0
INC0017417,New,True,0,0,True,Caller 4653,?,11/4/2016 09:05,?,?,Updated by 908,11/4/2016 09:05,Phone,Location 161,Category 26,Subcategory 175,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,13/4/2016 16:10,18/4/2016 16:15,0
INC0017418,New,True,0,0,True,Caller 428,Opened by  17,11/4/2016 09:07,?,?,Updated by 908,11/4/2016 09:07,Phone,Location 204,Category 32,Subcategory 9,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,13/4/2016 09:29,18/4/2016 10:07,0
INC0017419,New,True,0,0,True,Caller 3036,Opened by  17,11/4/2016 09:08,Created by 10,11/4/2016 09:19,Updated by 44,11/4/2016 09:19,Phone,Location 108,Category 43,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 177,11/4/2016 09:47,16/4/2016 10:07,0
INC0017420,New,True,0,0,True,Caller 4499,Opened by  40,11/4/2016 09:09,?,?,Updated by 908,11/4/2016 09:09,Phone,Location 204,Category 61,Subcategory 36,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 74,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,20/4/2016 11:39,25/4/2016 12:07,1
INC0017421,New,True,0,0,True,Caller 298,Opened by  40,11/4/2016 09:09,?,?,Updated by 908,11/4/2016 09:09,Phone,Location 143,Category 26,Subcategory 275,Symptom 54,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 10,Resolved by 114,11/4/2016 14:59,16/4/2016 15:07,0
INC0017422,New,True,0,0,True,Caller 4653,?,11/4/2016 09:09,Created by 89,11/4/2016 09:12,Updated by 370,11/4/2016 09:12,Phone,Location 161,Category 42,Subcategory 223,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 200,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 182,6/5/2016 16:32,11/5/2016 17:07,1
INC0017423,New,True,0,0,True,Caller 3233,Opened by  17,11/4/2016 09:10,?,?,Updated by 908,11/4/2016 09:10,Phone,Location 51,Category 61,Subcategory 16,Symptom 463,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,18/4/2016 12:42,23/4/2016 13:07,0
INC0017424,Active,True,0,0,True,Caller 1720,Opened by  17,11/4/2016 09:10,?,?,Updated by 908,11/4/2016 09:10,Phone,Location 161,Category 26,Subcategory 175,Symptom 116,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 11,11/4/2016 09:41,16/4/2016 10:07,0
INC0017426,Active,True,0,0,True,Caller 1764,Opened by  24,11/4/2016 09:12,?,?,Updated by 908,11/4/2016 09:12,Phone,Location 143,Category 32,Subcategory 9,Symptom 105,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 09:16,16/4/2016 10:07,0
INC0017428,New,True,0,0,True,Caller 1684,Opened by  40,11/4/2016 09:12,Created by 20,11/4/2016 09:14,Updated by 88,11/4/2016 09:14,Phone,Location 108,Category 9,Subcategory 164,Symptom 117,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 100,14/4/2016 15:05,19/4/2016 15:07,0
INC0017429,Active,True,0,0,True,Caller 1904,Opened by  180,11/4/2016 09:13,Created by 81,11/4/2016 09:13,Updated by 340,11/4/2016 09:13,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 85,11/4/2016 09:55,16/4/2016 10:07,0
INC0017430,New,True,0,0,True,Caller 538,Opened by  501,11/4/2016 09:13,Created by 216,11/4/2016 09:27,Updated by 915,11/4/2016 09:27,Phone,Location 143,Category 23,Subcategory 3,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 233,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 212,11/4/2016 10:03,16/4/2016 10:07,1
INC0017432,New,True,0,0,True,Caller 5165,Opened by  131,11/4/2016 09:15,Created by 62,11/4/2016 09:58,Updated by 265,11/4/2016 09:58,Phone,Location 93,Category 26,Subcategory 175,Symptom 491,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,13/4/2016 14:46,18/4/2016 15:07,1
INC0017433,Resolved,True,0,0,True,Caller 1690,Opened by  40,11/4/2016 09:15,?,?,Updated by 908,11/4/2016 09:15,Phone,Location 47,Category 53,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 23,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 21,?,16/4/2016 10:07,0
INC0017434,Resolved,True,0,0,True,Caller 5280,?,11/4/2016 09:15,?,?,Updated by 908,11/4/2016 09:15,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,?,?,16/4/2016 10:07,0
INC0017436,Active,True,0,0,True,Caller 3405,Opened by  24,11/4/2016 09:17,Created by 13,11/4/2016 09:18,Updated by 60,11/4/2016 09:18,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 09:26,16/4/2016 10:07,1
INC0017437,New,True,0,0,True,Caller 4440,Opened by  40,11/4/2016 09:18,?,?,Updated by 908,11/4/2016 09:18,Phone,Location 108,Category 40,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 21,11/4/2016 09:30,16/4/2016 10:07,0
INC0017438,New,True,0,0,True,Caller 4817,Opened by  17,11/4/2016 09:18,?,?,Updated by 908,11/4/2016 09:18,Phone,Location 161,Category 42,Subcategory 223,Symptom 65,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 11,11/4/2016 09:23,16/4/2016 10:07,0
INC0017439,New,True,0,0,True,Caller 4175,Opened by  131,11/4/2016 09:19,Created by 62,11/4/2016 09:56,Updated by 265,11/4/2016 09:56,Phone,Location 204,Category 53,Subcategory 127,Symptom 296,?,3 - Low,3 - Low,4 - Low,Group 76,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,12/4/2016 10:21,17/4/2016 11:07,1
INC0017440,Resolved,True,0,0,True,Caller 179,?,11/4/2016 09:19,?,?,Updated by 908,11/4/2016 09:19,Phone,Location 51,Category 32,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,?,?,16/4/2016 10:07,0
INC0017441,New,True,0,0,True,Caller 2736,Opened by  17,11/4/2016 09:20,Created by 10,11/4/2016 09:22,Updated by 44,11/4/2016 09:22,Phone,Location 54,Category 42,Subcategory 223,Symptom 532,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 194,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 177,13/4/2016 14:39,18/4/2016 15:07,1
INC0017442,Active,True,0,0,True,Caller 87,Opened by  17,11/4/2016 09:20,?,?,Updated by 908,11/4/2016 09:20,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 11,11/4/2016 09:28,16/4/2016 10:07,0
INC0017443,Resolved,True,0,0,True,Caller 4970,Opened by  536,11/4/2016 09:21,?,?,Updated by 908,11/4/2016 09:21,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 253,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 231,?,23/5/2016 11:07,0
INC0017444,Active,True,0,0,True,Caller 19,Opened by  17,11/4/2016 09:21,?,?,Updated by 908,11/4/2016 09:21,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 13,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,12/4/2016 15:36,17/4/2016 16:07,1
INC0017446,New,True,0,0,True,Caller 1270,Opened by  17,11/4/2016 09:24,?,?,Updated by 908,11/4/2016 09:24,Phone,Location 51,Category 24,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 111,13/4/2016 19:36,18/4/2016 16:09,1
INC0017447,New,True,0,0,True,Caller 2735,Opened by  501,11/4/2016 09:26,?,?,Updated by 908,11/4/2016 09:26,Phone,Location 108,Category 46,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,11/4/2016 09:48,16/4/2016 10:07,1
INC0017448,Active,True,0,0,True,Caller 1415,Opened by  24,11/4/2016 09:26,?,?,Updated by 908,11/4/2016 09:26,Phone,Location 143,Category 26,Subcategory 164,Symptom 295,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 09:31,16/4/2016 10:07,0
INC0017449,New,True,0,0,True,Caller 1192,Opened by  17,11/4/2016 09:26,?,?,Updated by 908,11/4/2016 09:26,Phone,Location 229,Category 61,Subcategory 36,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 151,11/4/2016 11:34,16/4/2016 12:07,0
INC0017450,Active,True,0,0,True,Caller 2877,Opened by  24,11/4/2016 09:27,?,?,Updated by 908,11/4/2016 09:27,Phone,Location 161,Category 20,Subcategory 125,Symptom 116,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,13/4/2016 09:08,18/4/2016 09:10,0
INC0017451,New,True,0,0,True,Caller 671,Opened by  240,11/4/2016 09:28,Created by 108,11/4/2016 09:33,Updated by 468,11/4/2016 09:33,Phone,Location 108,Category 37,Subcategory 285,Symptom 587,?,2 - Medium,2 - Medium,3 - Moderate,Group 47,Resolver 117,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 106,12/4/2016 08:57,17/4/2016 09:07,0
INC0017454,New,True,0,0,True,Caller 137,Opened by  17,11/4/2016 09:31,?,?,Updated by 908,11/4/2016 09:31,Phone,Location 108,Category 32,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 15:03,16/4/2016 15:07,0
INC0017455,Resolved,True,0,0,True,Caller 507,?,11/4/2016 09:31,?,?,Updated by 908,11/4/2016 09:31,Phone,Location 18,Category 32,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,?,?,16/4/2016 10:07,0
INC0017457,New,True,0,0,True,Caller 4856,Opened by  40,11/4/2016 09:32,Created by 20,11/4/2016 09:34,Updated by 88,11/4/2016 09:34,Phone,Location 204,Category 24,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,11/4/2016 11:57,16/4/2016 12:07,0
INC0017458,Active,True,0,0,True,Caller 368,Opened by  24,11/4/2016 09:32,?,?,Updated by 908,11/4/2016 09:32,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,11/4/2016 09:38,16/4/2016 10:07,0
INC0017459,New,True,0,0,True,Caller 2398,Opened by  17,11/4/2016 09:32,Created by 10,11/4/2016 09:40,Updated by 44,11/4/2016 09:40,Phone,Location 161,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 77,Resolver 249,False,False,Do Not Notify,?,?,?,?,code 5,Resolved by 227,13/4/2016 08:21,18/4/2016 09:07,1
INC0017460,Active,True,0,0,True,Caller 684,Opened by  24,11/4/2016 09:33,?,?,Updated by 908,11/4/2016 09:33,Phone,Location 108,Category 35,Subcategory 28,Symptom 506,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,11/4/2016 09:56,16/4/2016 10:07,0
INC0017461,New,True,0,0,True,Caller 4343,Opened by  17,11/4/2016 09:34,Created by 10,11/4/2016 09:39,Updated by 44,11/4/2016 09:39,Phone,Location 92,Category 23,Subcategory 174,Symptom 491,?,2 - Medium,1 - High,2 - High,Group 20,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,13/4/2016 09:13,18/4/2016 10:07,1
INC0017463,New,True,0,0,True,Caller 2735,Opened by  501,11/4/2016 09:34,?,?,Updated by 908,11/4/2016 09:34,Phone,Location 108,Category 46,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,11/4/2016 09:49,16/4/2016 10:07,1
INC0017464,New,True,0,0,True,Caller 5428,Opened by  17,11/4/2016 09:34,Created by 10,11/4/2016 09:39,Updated by 44,11/4/2016 09:39,Phone,Location 93,Category 26,Subcategory 175,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 229,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 208,14/4/2016 09:36,19/4/2016 10:07,1
INC0017465,Resolved,True,0,0,True,Caller 1860,Opened by  240,11/4/2016 09:35,?,?,Updated by 908,11/4/2016 09:35,Phone,Location 93,Category 26,Subcategory 175,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 127,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 115,?,16/4/2016 10:07,0
INC0017466,New,True,0,0,True,Caller 1716,Opened by  17,11/4/2016 09:36,?,?,Updated by 908,11/4/2016 09:36,Phone,Location 143,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 11,11/4/2016 09:47,16/4/2016 10:07,0
INC0017467,Resolved,True,0,0,True,Caller 4762,?,11/4/2016 09:36,?,?,Updated by 908,11/4/2016 09:36,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 7,?,?,16/4/2016 10:07,0
INC0017468,New,True,0,0,True,Caller 2426,Opened by  228,11/4/2016 09:38,?,?,Updated by 908,11/4/2016 09:38,Phone,Location 161,Category 37,Subcategory 135,Symptom 372,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,False,False,Do Not Notify,?,?,?,?,code 9,Resolved by 127,3/5/2016 16:23,8/5/2016 17:07,1
INC0017471,New,True,0,0,True,Caller 5373,Opened by  17,11/4/2016 09:46,?,?,Updated by 908,11/4/2016 09:46,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,?,False,False,Do Not Notify,?,?,?,?,code 16,Resolved by 99,19/4/2016 10:24,24/4/2016 11:07,1
INC0017472,Resolved,True,0,0,True,Caller 548,Opened by  40,11/4/2016 09:46,?,?,Updated by 908,11/4/2016 09:46,Phone,Location 204,Category 32,Subcategory 9,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 23,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 21,?,16/4/2016 11:07,0
INC0017473,New,True,0,0,True,Caller 5457,Opened by  301,11/4/2016 09:47,Created by 129,11/4/2016 09:57,Updated by 573,11/4/2016 09:57,Phone,Location 204,Category 19,Subcategory 163,Symptom 454,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,15/4/2016 17:07,20/4/2016 17:10,0
INC0017474,New,True,0,0,True,Caller 917,Opened by  501,11/4/2016 09:48,Created by 216,11/4/2016 09:50,Updated by 915,11/4/2016 09:50,Phone,Location 161,Category 24,Subcategory 174,Symptom 70,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 233,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 212,11/4/2016 10:54,16/4/2016 11:07,1
INC0017476,New,True,0,0,True,Caller 4103,Opened by  17,11/4/2016 09:50,Created by 10,11/4/2016 09:54,Updated by 44,11/4/2016 09:54,Phone,Location 204,Category 53,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,14/4/2016 11:14,19/4/2016 12:07,1
INC0017477,Active,True,0,0,True,Caller 1309,Opened by  40,11/4/2016 09:50,Created by 20,11/4/2016 09:52,Updated by 88,11/4/2016 09:52,Phone,Location 55,Category 46,Subcategory 223,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 21,11/4/2016 09:53,16/4/2016 10:07,0
INC0017478,New,True,0,0,True,Caller 4170,Opened by  17,11/4/2016 09:51,?,?,Updated by 908,11/4/2016 09:51,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,11/4/2016 09:56,16/4/2016 10:07,0
