opened_by,contact_type,location,category,subcategory,u_symptom,assignment_group,reassignment_required,opened_at_dt,opened_hour,opened_day_of_week,opened_month,opened_is_weekend,impact_encoded,urgency_encoded,priority_encoded
Opened by  17,Phone,Location 229,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 09:01:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 30,Category 46,Subcategory 174,,,0,2016-04-05 09:02:00,9,1,4,0,2,2,2
,Phone,Location 93,Category 23,Subcategory 174,Symptom 491,Group 20,1,2016-04-05 09:02:00,9,1,4,0,2,2,2
Opened by  40,Phone,Location 161,Category 26,Subcategory 175,Symptom 116,Group 70,1,2016-04-05 09:03:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 61,Subcategory 174,Symptom 491,Group 73,0,2016-04-05 09:04:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 93,Category 53,Subcategory 287,,Group 76,1,2016-04-05 09:05:00,9,1,4,0,3,2,3
Opened by  501,Phone,Location 43,Category 26,Subcategory 175,,Group 70,1,2016-04-05 09:05:00,9,1,4,0,2,2,2
Opened by  40,Phone,Location 161,Category 19,Subcategory 163,Symptom 454,Group 24,1,2016-04-05 09:07:00,9,1,4,0,2,2,2
,Phone,Location 93,Category 23,Subcategory 174,Symptom 491,Group 20,1,2016-04-05 09:08:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 34,Subcategory 154,Symptom 491,Group 9,1,2016-04-05 09:10:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 37,Subcategory 123,Symptom 127,Group 70,0,2016-04-05 09:12:00,9,1,4,0,2,2,2
Opened by  24,Phone,Location 204,Category 46,Subcategory 174,Symptom 491,Group 70,1,2016-04-05 09:13:00,9,1,4,0,2,2,2
,Phone,Location 108,Category 26,Subcategory 175,Symptom 491,Group 70,1,2016-04-05 09:14:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 143,Category 32,Subcategory 9,,Group 70,0,2016-04-05 09:15:00,9,1,4,0,2,2,2
Opened by  40,Phone,Location 161,Category 61,Subcategory 36,Symptom 491,Group 74,1,2016-04-05 09:16:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 33,Category 53,Subcategory 174,Symptom 491,Group 12,0,2016-04-05 09:16:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,1,2016-04-05 09:17:00,9,1,4,0,2,2,2
Opened by  55,Phone,Location 143,Category 53,Subcategory 82,,Group 76,0,2016-04-05 09:18:00,9,1,4,0,2,2,2
,Phone,Location 93,Category 23,Subcategory 174,,Group 20,1,2016-04-05 09:19:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 34,Subcategory 134,Symptom 491,Group 9,1,2016-04-05 09:19:00,9,1,4,0,2,2,2
,Phone,Location 204,Category 23,Subcategory 174,,Group 20,1,2016-04-05 09:22:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 34,Subcategory 134,Symptom 102,Group 28,0,2016-04-05 09:24:00,9,1,4,0,2,2,2
,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,Group 20,1,2016-04-05 09:26:00,9,1,4,0,2,2,2
Opened by  24,Phone,Location 108,Category 26,Subcategory 175,Symptom 116,Group 70,0,2016-04-05 09:26:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 143,Category 32,Subcategory 9,,Group 70,0,2016-04-05 09:27:00,9,1,4,0,2,2,2
,Phone,Location 161,Category 26,Subcategory 275,Symptom 115,Group 70,1,2016-04-05 09:29:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 26,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 09:29:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 38,Subcategory 174,,Group 30,1,2016-04-05 09:29:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 161,Category 61,Subcategory 36,Symptom 491,Group 73,0,2016-04-05 09:30:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 111,Category 53,Subcategory 127,,Group 76,0,2016-04-05 09:31:00,9,1,4,0,2,2,2
Opened by  319,Phone,Location 15,Category 24,Subcategory 174,,Group 72,0,2016-04-05 09:31:00,9,1,4,0,2,2,2
,Phone,Location 38,Category 53,Subcategory 174,,,1,2016-04-05 09:31:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 39,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 09:33:00,9,1,4,0,2,2,2
Opened by  55,Phone,Location 161,Category 20,Subcategory 103,Symptom 517,Group 70,0,2016-04-05 09:34:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 24,Subcategory 174,,Group 25,0,2016-04-05 09:35:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 179,Category 9,Subcategory 164,Symptom 117,Group 29,1,2016-04-05 09:36:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 143,Category 26,Subcategory 175,Symptom 116,Group 70,0,2016-04-05 09:36:00,9,1,4,0,2,2,2
Opened by  360,Phone,Location 199,Category 42,Subcategory 223,,Group 70,1,2016-04-05 09:37:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 20,Subcategory 125,Symptom 208,Group 70,1,2016-04-05 09:38:00,9,1,4,0,2,2,2
Opened by  301,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 09:39:00,9,1,4,0,2,2,2
Opened by  501,Phone,Location 143,Category 32,Subcategory 174,Symptom 494,Group 61,1,2016-04-05 09:39:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 09:39:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 24,Subcategory 174,Symptom 491,Group 25,0,2016-04-05 09:40:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 26,Subcategory 174,,Group 70,1,2016-04-05 09:40:00,9,1,4,0,2,2,2
Opened by  40,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,Group 70,1,2016-04-05 09:41:00,9,1,4,0,2,2,2
Opened by  131,Phone,Location 93,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 09:41:00,9,1,4,0,1,1,1
Opened by  17,Phone,Location 204,Category 34,Subcategory 174,Symptom 491,Group 9,1,2016-04-05 09:42:00,9,1,4,0,2,2,2
,Phone,Location 14,Category 32,Subcategory 174,Symptom 491,Group 70,1,2016-04-05 09:42:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 35,Subcategory 132,Symptom 403,Group 70,0,2016-04-05 09:44:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 173,Category 61,Subcategory 174,,Group 70,0,2016-04-05 09:45:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 23,Subcategory 174,Symptom 491,Group 20,1,2016-04-05 09:46:00,9,1,4,0,2,2,2
,Phone,Location 204,Category 23,Subcategory 174,,Group 20,1,2016-04-05 09:47:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 61,Subcategory 36,Symptom 491,Group 24,1,2016-04-05 09:48:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 161,Category 53,Subcategory 127,,Group 76,0,2016-04-05 09:48:00,9,1,4,0,2,2,2
,Phone,Location 96,Category 26,Subcategory 174,,Group 70,1,2016-04-05 09:50:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 19,Subcategory 163,Symptom 491,Group 25,0,2016-04-05 09:50:00,9,1,4,0,2,2,2
Opened by  55,Phone,Location 55,Category 44,Subcategory 59,,Group 5,0,2016-04-05 09:50:00,9,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 46,Subcategory 174,,,0,2016-04-05 09:53:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 136,Category 20,Subcategory 125,Symptom 116,Group 70,1,2016-04-05 09:53:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 491,Group 70,0,2016-04-05 09:53:00,9,1,4,0,2,2,2
Opened by  40,Phone,Location 135,Category 53,Subcategory 174,Symptom 491,Group 33,0,2016-04-05 09:55:00,9,1,4,0,2,2,2
Opened by  469,Phone,Location 55,Category 24,Subcategory 174,Symptom 491,Group 29,1,2016-04-05 09:56:00,9,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 26,Subcategory 275,Symptom 491,Group 70,0,2016-04-05 09:58:00,9,1,4,0,2,2,2
,Phone,Location 34,Category 26,Subcategory 275,Symptom 491,Group 70,1,2016-04-05 10:01:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 53,Subcategory 174,,Group 70,0,2016-04-05 10:01:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 37,Subcategory 123,Symptom 127,Group 70,0,2016-04-05 10:02:00,10,1,4,0,2,2,2
Opened by  55,Phone,Location 143,Category 37,Subcategory 135,Symptom 127,Group 70,1,2016-04-05 10:05:00,10,1,4,0,2,2,2
Opened by  131,Phone,Location 161,Category 46,Subcategory 247,Symptom 491,Group 57,1,2016-04-05 10:06:00,10,1,4,0,2,2,2
Opened by  40,Phone,Location 204,Category 53,Subcategory 174,,Group 66,0,2016-04-05 10:06:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 97,Category 42,Subcategory 223,Symptom 491,Group 70,0,2016-04-05 10:09:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 9,Subcategory 174,,Group 27,0,2016-04-05 10:09:00,10,1,4,0,2,2,2
,Phone,Location 161,Category 42,Subcategory 223,,Group 70,0,2016-04-05 10:10:00,10,1,4,0,2,2,2
Opened by  501,Phone,Location 56,Category 46,Subcategory 223,,Group 39,0,2016-04-05 10:10:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 20,Subcategory 125,Symptom 491,Group 70,0,2016-04-05 10:12:00,10,1,4,0,2,2,2
Opened by  131,Phone,Location 135,Category 26,Subcategory 174,Symptom 491,Group 70,1,2016-04-05 10:13:00,10,1,4,0,1,1,1
Opened by  17,Phone,Location 108,Category 26,Subcategory 164,Symptom 491,Group 70,0,2016-04-05 10:13:00,10,1,4,0,2,2,2
Opened by  40,Phone,Location 108,Category 53,Subcategory 174,,Group 27,0,2016-04-05 10:13:00,10,1,4,0,2,2,2
,Phone,Location 37,Category 23,Subcategory 174,,Group 20,1,2016-04-05 10:14:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 26,Subcategory 175,Symptom 491,Group 70,0,2016-04-05 10:20:00,10,1,4,0,2,2,2
Opened by  228,Phone,Location 161,Category 37,Subcategory 135,Symptom 491,Group 49,0,2016-04-05 10:22:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 10:23:00,10,1,4,0,2,2,2
Opened by  55,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,Group 65,1,2016-04-05 10:23:00,10,1,4,0,2,2,2
Opened by  40,Phone,Location 108,Category 26,Subcategory 175,Symptom 116,Group 70,1,2016-04-05 10:24:00,10,1,4,0,2,2,2
Opened by  501,Phone,Location 135,Category 20,Subcategory 103,,Group 70,0,2016-04-05 10:24:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 53,Subcategory 174,,Group 25,0,2016-04-05 10:24:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 10:25:00,10,1,4,0,2,2,2
,Phone,Location 161,Category 20,Subcategory 174,,Group 70,0,2016-04-05 10:25:00,10,1,4,0,2,2,2
,Phone,Location 161,Category 26,Subcategory 174,,Group 70,0,2016-04-05 10:28:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 39,Category 42,Subcategory 223,,Group 70,0,2016-04-05 10:28:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 10:29:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 147,Category 26,Subcategory 275,Symptom 371,Group 70,0,2016-04-05 10:31:00,10,1,4,0,2,2,2
Opened by  301,Phone,Location 55,Category 9,Subcategory 174,Symptom 491,Group 29,1,2016-04-05 10:32:00,10,1,4,0,3,3,4
Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 10:34:00,10,1,4,0,2,2,2
,Phone,Location 111,Category 26,Subcategory 174,,Group 70,1,2016-04-05 10:35:00,10,1,4,0,2,2,2
Opened by  501,Phone,Location 135,Category 26,Subcategory 174,Symptom 491,Group 70,1,2016-04-05 10:35:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 39,Category 37,Subcategory 135,Symptom 127,Group 70,0,2016-04-05 10:35:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 10:36:00,10,1,4,0,2,2,2
Opened by  55,Phone,Location 143,Category 32,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 10:37:00,10,1,4,0,2,2,2
Opened by  70,Phone,Location 200,Category 43,Subcategory 105,Symptom 131,Group 82,1,2016-04-05 10:38:00,10,1,4,0,1,1,1
Opened by  17,Phone,Location 96,Category 37,Subcategory 135,Symptom 118,Group 29,1,2016-04-05 10:40:00,10,1,4,0,2,2,2
,Phone,Location 204,Category 13,Subcategory 174,,Group 70,1,2016-04-05 10:40:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 147,Category 26,Subcategory 174,,Group 70,1,2016-04-05 10:43:00,10,1,4,0,2,2,2
Opened by  40,Phone,Location 128,Category 61,Subcategory 36,Symptom 458,Group 74,1,2016-04-05 10:43:00,10,1,4,0,2,2,2
Opened by  44,Phone,Location 161,Category 53,Subcategory 303,Symptom 86,Group 70,1,2016-04-05 10:45:00,10,1,4,0,2,2,2
Opened by  163,Phone,Location 93,Category 42,Subcategory 177,Symptom 494,Group 20,1,2016-04-05 10:46:00,10,1,4,0,2,2,2
,Phone,Location 93,Category 32,Subcategory 174,,Group 39,1,2016-04-05 10:48:00,10,1,4,0,2,2,2
Opened by  55,Phone,Location 143,Category 46,Subcategory 174,Symptom 491,Group 39,1,2016-04-05 10:49:00,10,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 61,Subcategory 36,,Group 73,0,2016-04-05 10:52:00,10,1,4,0,2,2,2
Opened by  163,Phone,Location 136,Category 57,Subcategory 305,Symptom 304,Group 35,1,2016-04-05 10:54:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 53,Subcategory 82,Symptom 491,Group 76,0,2016-04-05 10:55:00,10,1,4,0,2,2,2
Opened by  17,Phone,Location 39,Category 26,Subcategory 174,Symptom 491,Group 70,1,2016-04-05 10:59:00,10,1,4,0,2,2,2
,Phone,Location 51,Category 42,Subcategory 174,,,1,2016-04-05 11:00:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 11:02:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 26,Subcategory 175,Symptom 491,Group 70,1,2016-04-05 11:04:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,Group 39,0,2016-04-05 11:07:00,11,1,4,0,2,2,2
,Phone,Location 51,Category 32,Subcategory 174,,Group 70,1,2016-04-05 11:08:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 32,Subcategory 300,Symptom 491,Group 70,1,2016-04-05 11:09:00,11,1,4,0,2,2,2
Opened by  62,Phone,Location 161,Category 20,Subcategory 103,Symptom 387,Group 70,0,2016-04-05 11:14:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 46,Subcategory 174,Symptom 491,Group 39,0,2016-04-05 11:14:00,11,1,4,0,2,2,2
Opened by  131,Phone,Location 161,Category 32,Subcategory 9,,Group 70,0,2016-04-05 11:15:00,11,1,4,0,1,1,1
Opened by  40,Phone,Location 136,Category 26,Subcategory 175,,Group 70,1,2016-04-05 11:15:00,11,1,4,0,2,2,2
,Phone,Location 45,Category 46,Subcategory 251,Symptom 491,Group 22,1,2016-04-05 11:16:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 34,Subcategory 154,Symptom 491,Group 20,1,2016-04-05 11:16:00,11,1,4,0,2,2,2
Opened by  131,Phone,Location 113,Category 26,Subcategory 175,Symptom 571,Group 70,0,2016-04-05 11:16:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 532,Group 70,1,2016-04-05 11:19:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 34,Subcategory 134,Symptom 491,Group 9,1,2016-04-05 11:20:00,11,1,4,0,2,2,2
Opened by  55,Phone,Location 161,Category 32,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 11:26:00,11,1,4,0,2,2,2
Opened by  40,Phone,Location 204,Category 24,Subcategory 164,Symptom 571,Group 70,0,2016-04-05 11:27:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 40,Category 53,Subcategory 174,Symptom 491,Group 12,0,2016-04-05 11:28:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 57,Subcategory 184,Symptom 10,Group 51,1,2016-04-05 11:28:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 53,Subcategory 82,Symptom 10,Group 76,0,2016-04-05 11:28:00,11,1,4,0,2,2,2
Opened by  322,Phone,Location 51,Category 17,Subcategory 90,Symptom 491,Group 69,1,2016-04-05 11:30:00,11,1,4,0,2,2,2
Opened by  131,Phone,Location 51,Category 53,Subcategory 174,Symptom 491,Group 30,0,2016-04-05 11:32:00,11,1,4,0,2,2,2
Opened by  62,Phone,Location 204,Category 46,Subcategory 220,Symptom 546,Group 66,0,2016-04-05 11:34:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 20,Subcategory 103,Symptom 208,Group 70,0,2016-04-05 11:34:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 43,Category 20,Subcategory 103,Symptom 387,Group 70,1,2016-04-05 11:35:00,11,1,4,0,2,2,2
Opened by  55,Phone,Location 204,Category 9,Subcategory 174,,Group 20,1,2016-04-05 11:36:00,11,1,4,0,2,2,2
Opened by  131,Phone,Location 129,Category 9,Subcategory 164,Symptom 471,Group 27,0,2016-04-05 11:39:00,11,1,4,0,2,2,2
Opened by  319,Phone,Location 15,Category 42,Subcategory 29,,Group 55,0,2016-04-05 11:40:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 77,Category 37,Subcategory 174,Symptom 491,,0,2016-04-05 11:41:00,11,1,4,0,2,2,2
Opened by  55,Phone,Location 51,Category 24,Subcategory 228,Symptom 113,Group 23,1,2016-04-05 11:44:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 131,Category 23,Subcategory 3,Symptom 9,Group 20,1,2016-04-05 11:48:00,11,1,4,0,2,2,2
Opened by  131,Phone,Location 204,Category 26,Subcategory 275,Symptom 116,Group 70,0,2016-04-05 11:48:00,11,1,4,0,1,1,1
Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 381,Group 70,0,2016-04-05 11:49:00,11,1,4,0,1,1,1
Opened by  17,Phone,Location 66,Category 53,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 11:50:00,11,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 20,Subcategory 125,Symptom 491,Group 70,0,2016-04-05 11:53:00,11,1,4,0,2,2,2
Opened by  55,Phone,Location 204,Category 23,Subcategory 3,,Group 20,1,2016-04-05 11:54:00,11,1,4,0,2,2,2
Opened by  40,Phone,Location 93,Category 40,Subcategory 44,Symptom 5,Group 70,1,2016-04-05 11:55:00,11,1,4,0,2,2,2
Opened by  40,Phone,Location 93,Category 20,Subcategory 125,Symptom 116,Group 70,0,2016-04-05 12:00:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 12:01:00,12,1,4,0,2,2,2
Opened by  47,Phone,Location 108,Category 19,Subcategory 163,,Group 54,1,2016-04-05 12:08:00,12,1,4,0,2,2,2
Opened by  500,Phone,Location 108,Category 34,Subcategory 134,Symptom 465,Group 9,1,2016-04-05 12:09:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,Group 25,0,2016-04-05 12:09:00,12,1,4,0,2,2,2
Opened by  108,Phone,Location 93,Category 46,Subcategory 223,Symptom 491,Group 70,0,2016-04-05 12:11:00,12,1,4,0,2,2,2
Opened by  354,Phone,Location 143,Category 42,Subcategory 174,Symptom 491,Group 39,0,2016-04-05 12:11:00,12,1,4,0,1,2,1
Opened by  17,Phone,Location 161,Category 46,Subcategory 243,Symptom 491,Group 57,0,2016-04-05 12:14:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 20,Subcategory 103,Symptom 116,Group 70,1,2016-04-05 12:25:00,12,1,4,0,2,2,2
Opened by  55,Phone,Location 161,Category 20,Subcategory 125,Symptom 491,Group 70,0,2016-04-05 12:27:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 24,Subcategory 174,,Group 25,0,2016-04-05 12:28:00,12,1,4,0,2,2,2
Opened by  108,Phone,Location 59,Category 53,Subcategory 174,,Group 70,0,2016-04-05 12:32:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 26,Subcategory 275,Symptom 54,Group 70,1,2016-04-05 12:37:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 12:42:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 53,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 12:48:00,12,1,4,0,2,2,2
Opened by  40,Phone,Location 108,Category 32,Subcategory 9,Symptom 491,Group 70,0,2016-04-05 12:58:00,12,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 13:00:00,13,1,4,0,2,2,2
Opened by  108,Phone,Location 124,Category 53,Subcategory 82,Symptom 296,Group 76,1,2016-04-05 13:07:00,13,1,4,0,2,2,2
Opened by  55,Phone,Location 143,Category 53,Subcategory 174,,Group 70,0,2016-04-05 13:15:00,13,1,4,0,2,2,2
Opened by  191,Phone,Location 204,Category 46,Subcategory 247,Symptom 491,Group 57,0,2016-04-05 13:18:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 96,Category 53,Subcategory 82,Symptom 491,Group 76,0,2016-04-05 13:20:00,13,1,4,0,2,2,2
Opened by  500,Phone,Location 96,Category 37,Subcategory 123,Symptom 127,Group 70,0,2016-04-05 13:23:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 53,Subcategory 174,Symptom 491,Group 24,0,2016-04-05 13:23:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 13:25:00,13,1,4,0,2,2,2
Opened by  40,Phone,Location 135,Category 37,Subcategory 135,Symptom 87,Group 70,1,2016-04-05 13:27:00,13,1,4,0,2,2,2
Opened by  221,Phone,Location 204,Category 23,Subcategory 174,Symptom 491,Group 20,1,2016-04-05 13:28:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 46,Subcategory 174,Symptom 491,Group 57,1,2016-04-05 13:31:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 20,Subcategory 174,Symptom 491,Group 70,0,2016-04-05 13:32:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 13:37:00,13,1,4,0,2,2,2
Opened by  108,Phone,Location 204,Category 20,Subcategory 174,,Group 70,1,2016-04-05 13:37:00,13,1,4,0,2,2,2
Opened by  55,Phone,Location 204,Category 34,Subcategory 174,Symptom 491,Group 9,1,2016-04-05 13:40:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 96,Category 46,Subcategory 150,Symptom 491,Group 10,1,2016-04-05 13:42:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 34,Subcategory 151,Symptom 491,Group 27,0,2016-04-05 13:44:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 46,Subcategory 174,Symptom 491,Group 39,0,2016-04-05 13:48:00,13,1,4,0,2,2,2
Opened by  55,Phone,Location 161,Category 26,Subcategory 175,Symptom 116,Group 70,1,2016-04-05 13:52:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 26,Subcategory 175,Symptom 491,Group 70,0,2016-04-05 13:53:00,13,1,4,0,2,2,2
Opened by  108,Phone,Location 161,Category 46,Subcategory 231,Symptom 491,Group 37,1,2016-04-05 13:57:00,13,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,Group 27,0,2016-04-05 13:57:00,13,1,4,0,2,2,2
Opened by  62,Phone,Location 143,Category 37,Subcategory 135,Symptom 87,Group 70,0,2016-04-05 13:58:00,13,1,4,0,2,2,2
Opened by  47,Phone,Location 143,Category 26,Subcategory 175,Symptom 116,Group 70,1,2016-04-05 13:59:00,13,1,4,0,2,2,2
Opened by  501,Phone,Location 143,Category 46,Subcategory 223,,Group 39,0,2016-04-05 14:05:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 14:08:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 34,Subcategory 174,Symptom 491,Group 9,1,2016-04-05 14:12:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 149,Category 37,Subcategory 123,Symptom 491,Group 48,0,2016-04-05 14:12:00,14,1,4,0,2,2,2
Opened by  108,Phone,Location 51,Category 44,Subcategory 174,,Group 5,1,2016-04-05 14:13:00,14,1,4,0,2,2,2
Opened by  403,Phone,Location 204,Category 32,Subcategory 174,,Group 20,0,2016-04-05 14:18:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 57,Subcategory 170,Symptom 491,Group 65,0,2016-04-05 14:18:00,14,1,4,0,2,2,2
Opened by  108,Phone,Location 108,Category 61,Subcategory 36,Symptom 491,Group 75,1,2016-04-05 14:19:00,14,1,4,0,2,2,2
Opened by  62,Phone,Location 35,Category 53,Subcategory 174,,,0,2016-04-05 14:19:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 204,Category 32,Subcategory 9,Symptom 491,Group 70,1,2016-04-05 14:20:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 161,Category 53,Subcategory 80,Symptom 571,Group 19,0,2016-04-05 14:23:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 55,Category 57,Subcategory 174,Symptom 491,Group 12,0,2016-04-05 14:27:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 143,Category 19,Subcategory 163,Symptom 454,Group 61,0,2016-04-05 14:28:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 14:29:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 93,Category 42,Subcategory 223,Symptom 534,Group 70,0,2016-04-05 14:30:00,14,1,4,0,2,2,2
Opened by  17,Phone,Location 108,Category 40,Subcategory 44,Symptom 491,Group 70,1,2016-04-05 14:33:00,14,1,4,0,2,2,2
Opened by  503,Phone,Location 28,Category 20,Subcategory 125,Symptom 491,Group 70,1,2016-04-05 14:34:00,14,1,4,0,2,2,2
